"# Constructed from biom file"																																								
"#OTU ID"	"Tiberias_Head_09_2017"	"Tiberias_Pump_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pump_01_2019"	"Tiberias_Pump_09_2018"	"Tiberias_Pump_01_2018"	"Haon_01_2019"	"Haon_09_2017"	"Haon_01_2018"	"Haon_09_2018"	"Nur_09_2018"	"Nur_09_2017"	"Nur_01_2019"	"Nur_01_2018"	"Maayan1_09_2017"	"Gesher_hana_09_2017"	"Barbutim_01_2019"	"Maayan1_09_2018"	"Gesher_hana_09_2018"	"Ein7_09_2018"	"Barbutim_09_2018"	"Barbutim_01_2018"	"Maayan1_01_2018"	"Fuliya4_01_2019"	"Ein7_01_2018"	"Gesher_hana_01_2018"	"Fuliya4_09_2017"	"Fuliya4_01_2018"	"Barbutim_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2018"	"Maayan1_01_2019"	"Gesher_hana_01_2019"	"Ein7_01_2019"
"0bf27"	0	0	0	0	0	0	0	0	0.041095890410959	0	0	0	0	0	0	0	0	0	0	0.067392676767677	0.051870260625757	0.009254749147589	0.000724112961622	0	0.227108868060562	0	0.005380249105534	0.012563095905777	0	0.07	0	0.06085736157183	0.044519747604581	0.08446289393426	0.006132037907143	0.025416301489921	0.11135450894487	0	0	0.279024390243902
"9d305"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028526970954357	0.002367424242424	0.013190594532594	0.004870920603994	0	0	0	0	0	0	0.037920489296636	0	0	0.017861699413116	0.00373919139986	0	0	0.012269938650307	0	0.010552975939215	0	0.023414634146342
"dc4ce"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022408737524547	0	0	0	0	0.001913753508548	0	0	0	0.049956178790535	0	0	0	0
"8c730"	0	0	0	0	0	0.009352731591449	0	0	0	0	0.048579970104634	0	0.000463745976322	0.008428776835738	0	0	0.419494139420111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bbf7e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113979542133463	0	0.008040201005025	0.062004325883201	0.016078773526113	0	0	0	0	0.069565217391304	0.076932891043634	0	0	0	0.013730645632486	0	0	0.076541679578556	0
"85291"	0	0	0	0	0	0	0	0	0	0.231175693527081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001121704991587	0	0	0	0	0	0	0	0	0	0	0	0
"7901c"	0.017894736842105	0.022922636103152	0	0	0.296786389413989	0.08521377672209	0	0.0484375	0	0	0.058669656203289	0.063866371898796	0.138714605270337	0	0.025921494901157	0.843849708438772	0	0	0	0	0.107818772701204	0	0	0	0	0	0	0	0	0.083333333333333	0	0	0.031549427436317	0.341324974584886	0	0	0.017159547280029	0	0	0
"de54e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001461276181198	0.211440984793628	0	0.005046863734679	0	0	0	0	0	0.009661835748792	0	0	0	0	0.001460706982179	0	0	0.011465757669662	0
"32417"	0	0	0	0	0.010396975425331	0.03666864608076	0	0	0	0	0	0.082043723900762	0	0	0	0	0	0	0	0	0	0.011690209449586	0	0	0.012977649603461	0.002617474760065	0	0	0	0.195	0	0	0.001752745968684	0	0	0	0	0	0	0
"1b115"	0	0	0	0	0	0	0	0	0	0.026608794112097	0.001494768310912	0.005895357406043	0	0	0	0	0	0	0	0	0	0	0.00056319897015	0	0	0	0	0.036567582725743	0	0	0	0	0	0	0.001321971808553	0	0	0	0	0
"7f4a4"	0	0	0	0	0	0	0	0	0	0	0	0	0.014512521141361	0	0.002962456560132	0.00055011552426	0	0	0	0	0.001975403045944	0	0.001609139914716	0	0	0.034401096846566	0	0.002748177229389	0	0	0	0.006124011227354	0	0	0.000111491598312	0	0.002373128879153	0	0	0
