"Sample-name","Date","Month","Station","Year","Season","origin","environment","Legionella-count","Legionella-count-Log2","Legionella-count-Log10","Ph","Turbidity","Temp","TDP","TP","TN","TDN","Na","SO4","Fe","Nitrate","Cl","Conductivity","Origin-numeric","Legionella-count-old"
"En Sheva-Oct18","Oct18","Oct","En Sheva",2018,"Autumn ","Tabgha","Water",6776,12.7262181593322,3.83,7.22,0.82,25,12.6,16,4.44,4.03,25,100,3.2,2.96,37.29,4500,2,6776
"En Sheva-Jan19","Jan19","Jan","En Sheva",2019,"Winter","Tabgha","Water",8549,13.0615399585301,3.93,7.16,5.88,23,20.4,45.5,6.34,5.59,7,39,0.2,4.95,11.07,1775,2,8549
"Nur-Sep17","Sep17","Sep","Nur",2017,"Autumn ","Tabgha","Water",242,7.97727992349992,2.4,7.29,0.54,26,,17.4,2.04,,39,,,,58.36,6660,2,252
"Nur-Jan18","Jan18","Jan","Nur",2018,"Winter","Tabgha","Water",6610,12.6904345563951,3.82,7.41,1.63,26,6.3,18.5,3.04,2.71,28,114,12.6,1.57,41.86,5070,2,6610
"Nur-Jun18","Jun18","Jun","Nur",2018,"Summer","Tabgha","Water",18400,14.1674181458317,4.26,7.33,1.21,27,18.7,19.9,2.9,2.62,37,157,8.6,2.54,56.14,6660,2,18400
"Nur-Oct18","Oct18","Oct","Nur",2018,"Autumn ","Tabgha","Water",6980,12.769011321097,3.84,7.03,2.56,27,19.9,20,3.5,2.59,47,184,8.7,1.47,70.52,7850,2,6980
"Nur-Jan19","Jan19","Jan","Nur",2019,"Winter","Tabgha","Water",3945,11.9458095849008,3.6,7.07,3.61,27,17.6,25.8,3.18,3.22,40,145,1.8,1.35,60.03,6780,2,3945
"Maayan1-Sep17","Sep17","Sep","Maayan1",2017,"Autumn ","Tabgha","Water",3390,11.8792003179474,3.58,7.42,1.22,29,,17,2.22,,25,,,,37.62,4460,2,3767
"Maayan1-Jan18","Jan18","Jan","Maayan1",2018,"Winter","Tabgha","Water",5925,12.532599438673,3.77,7.69,3.81,23,6.4,20.6,3.69,3.65,16,58,3.4,2.97,24.95,3310,2,5925
"Maayan1-Jun18","Jun18","Jun","Maayan1",2018,"Summer","Tabgha","Water",3670,11.8415643477306,3.56,7.43,2.01,24,25.3,36,4.34,4.22,21,86,16.9,4.25,32.23,4170,2,3670
"Maayan1-Oct18","Oct18","Oct","Maayan1",2018,"Autumn ","Tabgha","Water",16872,14.0423433797937,4.23,7.19,27.8,25,15.8,26.9,4.3,4.2,25,102,4.5,2.84,38.56,4670,2,16872
"Maayan1-Jan19","Jan19","Jan","Maayan1",2019,"Winter","Tabgha","Water",10905,13.4127021495281,4.04,7.09,2.92,23.5,24.1,33.4,6.18,5.77,8,45,3.8,5.24,12.38,1927,2,10905
"Gesher-hana-Sep17","Sep17","Sep","Gesher-hana",2017,"Autumn ","Tabgha","Water",3865,11.9603640088778,3.6,7.89,2.21,26,,18.3,2.4,,24,,,,37.08,4430,2,3985
"Gesher-hana-Jan18","Jan18","Jan","Gesher-hana",2018,"Winter","Tabgha","Water",6723,12.7148894342315,3.83,7.13,2.59,23,7.2,13.4,3.34,1.94,18,66,9.9,1.54,27.39,3500,2,6723
"Gesher-hana-Jun18","Jun18","Jun","Gesher-hana",2018,"Summer","Tabgha","Water",3033,11.5665297826242,3.48,8.18,1.44,25,18.2,24.6,4.34,4.33,21,82,7.1,4.26,31.61,4100,2,3033
"Gesher-hana-Oct18","Oct18","Oct","Gesher-hana",2018,"Autumn ","Tabgha","Water",24352,14.5717526435035,4.39,7.61,11.1,25,10.6,41.5,4.64,4,25,95,7.7,2.81,37.94,4530,2,24352
"Gesher-hana-Jan19","Jan19","Jan","Gesher-hana",2019,"Winter","Tabgha","Water",4948,12.2726297849764,3.69,7.82,5.04,22,32.2,43.2,6.28,3.94,7,36,1.6,3.64,11.23,1780,2,4948
"Tiberias-head-Sep17","Sep17","Sep","Tiberias-head",2017,"Autumn ","Tiberias Hot Springs","Water",121333,16.9325608022233,5.1,6.51,8.83,59,,24.6,9.44,,291,,,,520.21,46600,3,125086
"Tiberias-head-Jan18","Jan18","Jan","Tiberias-head",2018,"Winter","Tiberias Hot Springs","Water",850,9.73131903102506,2.93,6.06,0.71,56,8.7,8.7,3.62,2.15,273,584,157,0.05,487.24,45900,3,850
"Tiberias-head-Jun18","Jun18","Jun","Tiberias-head",2018,"Summer","Tiberias Hot Springs","Water",2545,11.3134499409631,3.41,6.61,0.9,59,19.9,21.7,5.77,3.87,283,537,253.4,0.02,505.4,46600,3,2545
"Tiberias-head-Oct18","Oct18","Oct","Tiberias-head",2018,"Autumn ","Tiberias Hot Springs","Water",1426,10.4777582664439,3.15,6.36,0.81,58.5,12,12.6,9.89,7.54,291,761,146.3,0.02,519.83,46900,3,1426
"Tiberias-head-Jan19","Jan19","Jan","Tiberias-head",2019,"Winter","Tiberias Hot Springs","Water",40,5.32192809488736,1.6,6.49,0.79,58,6.8,7,33.73,17.21,286,698,86.2,0.05,509.9,45700,3,40
"Tiberias-pump-Sep17","Sep17","Sep","Tiberias-pump",2017,"Autumn ","Tiberias Hot Springs","Water",123667,17.430673055455,5.25,6.93,2.91,51,,27.9,2.55,,277,,,,494.81,44900,3,176667
"Tiberias-pump-Jan18","Jan18","Jan","Tiberias-pump",2018,"Winter","Tiberias Hot Springs","Water",846333,19.6908658953744,5.93,6.69,5.86,39,11.2,60.7,2.18,1.3,219,455,6.6,0.73,391.96,37600,3,846333
"Tiberias-pump-Jun18","Jun18","Jun","Tiberias-pump",2018,"Summer","Tiberias Hot Springs","Water",371500,18.5030026852007,5.57,7.22,1.67,42,13.3,20.6,3.97,3.78,226,407,6.1,0.26,402.82,37700,3,371500
"Tiberias-pump-Oct18","Oct18","Oct","Tiberias-pump",2018,"Autumn ","Tiberias Hot Springs","Water",255123,17.9608334419392,5.41,6.92,2.91,49,24.2,30.6,9.38,9.13,258,753,25.6,0.02,461.38,43000,3,255123
