"sampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"collection-date"	"SampleID-new"	"Barplot-name-rev"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"new-sample-Ids"	"sequancing-run"	"result"	"station"	"barplot-name"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"pH"	"turbidity"	"conductivity"	"TN"	"TP"	"Na"
"Fuliya4_09_2018_W"			"09-2018"	"5W-819"	"189-5w"	2018	"Sep"	"Oded099_5W_0918"	"UIC"	"5W-918"	"10-2020"	"work"	"Fuliya4"	"Fuliya4 09-2018"	"Fulia"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	6.08	27	7.39	1.46	3210	6.76	151.7	18.05
"Barbutim_01_2019_W"			"01-2019"	"8W-911"	"8W-119"	2019	"Jan"	"Oded106_8w_0119"	"UIC"	"8W-119"	"10-2020"	"work"	"Barbutim"	"Barbutim 01-2019"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	19.2	21.9	7.03	4.48	5180	1.03	85.1	26.77
"Haon_01_2019_W"			"01-2019"	"16W-911"	"16W-119"	2019	"Jan"	"Oded107_16w_0119"	"UIC"	"16W-119"	"10-2020"	"work"	"Haon"	"Haon 01-2019"	"Haon"	"Haon"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	26.8	25	6.8	15.2	25500	4.87	75.1	189.73
"Tiberias_Head_01_2019_W"			"01-2019"	"12W-911"	"12W-119"	2019	"Jan"	"Oded108_12w_0119"	"UIC"	"12W-119"	"10-2020"	"work"	"Tiberias Head"	"Tiberias Head 01-2019"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.19	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Pump_01_2019_W"			"01-2019"	"13W-911"	"13W-119"	2019	"Jan"	"Oded109_13w_0119"	"UIC"	"13W-119"	"10-2020"	"work"	"Tiberias Pump"	"Tiberias Pump 01-2019"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	15.2	43.5	6.98	7.39	44400	28.52	24.8	271.67
"Tiberias_Pool_01_2019_W"			"01-2019"	"14W-911"	"14W-119"	2019	"Jan"	"Oded110_14W_0119"	"UIC"	"14W-119"	"10-2020"	"work"	"Tiberias Pool"	"Tiberias Pool 01-2019"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	12.7	39	7.27	0.781	47500	36.22	8.7	295.46
"Gesher_hana_01_2019_W"			"01-2019"	"11W-911"	"11W-119"	2019	"Jan"	"Oded111_11W_0119"	"UIC"	"11W-119"	"10-2020"	"work"	"Gesher hana"	"Gesher hana 01-2019"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	3.02	22	7.82	5.04	1780	6.28	43.2	7.35
"Nur_01_2019_W"			"01-2019"	"10W-911"	"10W-119"	2019	"Jan"	"Oded112_10W_0119"	"UIC"	"10W-119"	"10-2020"	"work"	"Nur"	"Nur 01-2019"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.64	27	7.07	3.61	6780	3.18	25.8	39.62
"Maayan1_01_2019_W"			"01-2019"	"9W-911"	"9W-119"	2019	"Jan"	"Oded113_9W_0119"	"UIC"	"9W-119"	"10-2020"	"work"	"Maayan1"	"Maayan1 01-2019"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.36	23.5	7.09	2.92	1927	6.18	33.4	8.17
"Ein7_01_2019_W"			"01-2019"	"6W-911"	"6W-119"	2019	"Jan"	"Oded114_6W0119"	"UIC"	"6W-119"	"10-2020"	"work"	"Ein7"	"Ein7 01-2019"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.47	23	7.16	5.88	1775	6.34	45.5	7.31
"Fuliya4_01_2019_W"			"01-2019"	"5W-911"	"191-5w"	2019	"Jan"	"Oded115_5W_0119"	"UIC"	"5W-119"	"10-2020"	"work"	"Fuliya4"	"Fuliya4 01-2019"	"Fulia"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	27.4	23	7.53	2.88	3650	4.34	93.5	21.1
"Tiberias_Head_06_2018_W"			"06-2018"	"12W-816"	"12W-618"	2018	"Jun"	"Oded123_12W_0618"	"UIC"	"12W-618"	"10-2020"	"work"	"Tiberias Head"	"Tiberias Head 06-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	0.92	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Pool_06_2018_W"			"06-2018"	"14W-816"	"14W-618"	2018	"Jun"	"Oded125_14W_0618"	"UIC"	"14W-618"	"10-2020"	"work"	"Tiberias Pool"	"Tiberias Pool 06-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	3.24	39	7.27	0.781	47500	36.22	8.7	295.46
