"#_Constructed_from_biom_file"																																								
"OTU_ID"	"Barbutim_09_2017_W"	"Haon_09_2017_W"	"Tiberias_Head_09_2017_W"	"Maayan1_09_2017_W"	"Ein7_09_2017_W"	"Fuliya4_09_2017_W"	"Tiberias_Pump_09_2017_W"	"Gesher_hana_09_2017_W"	"Nur_09_2017_W"	"Barbutim_01_2018_W"	"Haon_01_2018_W"	"Tiberias_Pump_01_2018_W"	"Tiberias_Pool_01_2018_W"	"Gesher_hana_01_2018_W"	"Nur_01_2018_W"	"Maayan1_01_2018_W"	"Ein7_01_2018_W"	"Fuliya4_01_2018_W"	"Barbutim_09_2018_W"	"Haon_09_2018_W"	"Tiberias_Head_09_2018_W"	"Tiberias_Pump_09_2018_W"	"Tiberias_Pool_09_2018_W"	"Gesher_hana_09_2018_W"	"Nur_09_2018_W"	"Maayan1_09_2018_W"	"Ein7_09_2018_W"	"Fuliya4_09_2018_W"	"Barbutim_01_2019_W"	"Haon_01_2019_W"	"Tiberias_Head_01_2019_W"	"Tiberias_Pump_01_2019_W"	"Tiberias_Pool_01_2019_W"	"Gesher_hana_01_2019_W"	"Nur_01_2019_W"	"Maayan1_01_2019_W"	"Ein7_01_2019_W"	"Fuliya4_01_2019_W"	"Tiberias_Head_06_2018_W"	"Tiberias_Pool_06_2018_W"
"9618c"	0	0	0	0.008252770572978	0	0	0	0	0	0	0	0	0	0.012238868959696	0	0	0	0.004295356923706	0	0	0	0	0	0.017750668220136	0	0	0	0.004834475251329	0	0	0	0	0	0	0	0	0	0.00772675040615	0	0
"3f945"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003024917760048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000649350649351	0	0	0	0	0
"b604a"	0	0	0	0.017212921480783	0	0	0	0	0	0	0	0.000497744594805	0	0	0	0	0	0.041153610145224	0	0	0	0	0	0	0	0.009472880061115	0	0	0	0	0	0	0	0	0	0	0	0.015096881562785	0	0
"481fa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257216347528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001161407285706	0.00154119739182	0	0	0
"b2132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003246110605281	0	0	0.031572579120505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ebd16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001063612190632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000924351105524	0	0	0.000652045050385	0	0	0
"80202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155451012477	0	0	0	0	0	0.000856692481667	0	0	0	0.0045143113274	0	0	0.032757917629469	0	0.000989502667355	0	0	0	0	0.047469984546499	0	0
"b9cb1"	0	0	0	0	0	0	0	0	0	0.000912242291553	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002227400452334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"04e05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002391503130056	0	0.018414186864295	0.001343240925979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000708175174211	0	0	0	0
"abfc9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001428979708488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159386068477	0	0	0	0	0
