# Constructed from biom file
#OTU ID	Tiberias_Head_09_2017	Tiberias_Pump_09_2017	Tiberias_Pool_09_2018	Tiberias_Pool_01_2019	Tiberias_Pool_06_2018	Tiberias_Pool_01_2018	Tiberias_Head_09_2018	Tiberias_Head_01_2019	Tiberias_Head_06_2018	Tiberias_Pump_01_2019	Tiberias_Pump_09_2018	Tiberias_Pump_01_2018	Haon_01_2019	Haon_09_2017	Haon_01_2018	Haon_09_2018	Nur_09_2018	Nur_09_2017	Nur_01_2019	Nur_01_2018	Maayan1_09_2017	Gesher_hana_09_2017	Barbutim_01_2019	Maayan1_09_2018	Gesher_hana_09_2018	Ein7_09_2018	Barbutim_09_2018	Barbutim_01_2018	Maayan1_01_2018	Fuliya4_01_2019	Ein7_01_2018	Gesher_hana_01_2018	Fuliya4_09_2017	Fuliya4_01_2018	Barbutim_09_2017	Ein7_09_2017	Fuliya4_09_2018	Maayan1_01_2019	Gesher_hana_01_2019	Ein7_01_2019
39d50055e32b014fccd225df722a983a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	110.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
1bed378c45e62638764f3758efd5f845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	5.0
fdb836ae7865f2c880c9ba14545f8481	30.0	28.0	88.0	0.0	83.0	143.0	0.0	0.0	0.0	0.0	96.0	2726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1affd3174c13725b51cd09426ee1381b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0
5d5f609eb982494411678f82d460f969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0
e0e9db8440b2655c61b430577a4d7f5c	40.0	0.0	83.0	21.0	36.0	570.0	0.0	0.0	21.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22435d265fb4fc8bb4bbd4457c30a310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	7.0
332c5a25baed8c2a7cffa83139fa8049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655.0	0.0	0.0	0.0
4c6734053abff24dc84cebf880368fb8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	87.0	0.0	0.0	0.0	0.0	26.0	29.0	0.0	125.0	783.0	28.0	0.0	2.0	81.0	61.0	0.0	14.0	38.0	0.0	448.0	94.0	451.0	353.0	0.0	73.0	67.0	0.0	299.0	101.0
3e590843eee0d47b3ba4f43bb7280ce6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.0	0.0	0.0	0.0	0.0
a8721a77cb7a43fc7de470a8b6041a49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	18.0	0.0
4bde07fcb31415fcb5b2e1d6ca8a4852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
5b44c2ec77b0a484f4e8dacaa73bc98f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
69460f25fda5eef986e0dc2c183795fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9cafc5698cad325ce6534e320df5738e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	14.0	126.0	0.0	0.0	0.0
9513c2cbe7e625fba6ae095de41a5b6a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	768.0	0.0	0.0	0.0	0.0	0.0	0.0
2a202e35f553433bd5db477c438a724c	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4260850ed523fca90f90531206092cab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ac14a4a7579baad25ec33daaa8be97c6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d6f1b4b855580c30ab824723f8061bc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	310.0	10.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
eed1f14f9634fd782170717e28ea7447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	22.0	18.0	0.0	84.0	0.0	99.0	105.0	0.0
