"SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"new-sample-IDs"	"collection-date"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"sequancing-run"	"result"	"station"	"date_last_three"	"Station-date"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"DO"	"Chl"	"pH"	"turbidity"	"alkalinity"	"ORP"	"Cl"	"conductivity"	"TN"	"TP"	"SO4"	"microcystis-biomass"	"pytoplankton-biomas"	"ciliates-biomass"	"bacil-chr-biomass"	"chloro-biomass"	"crypto-biomass"	"cyanoph-biomass"	"dino-biomass"	"Na"
"5B-918"			"fulia4_09-2018_B"	"09-2018"	2018	"Sep"	"Oded162_5B_0918"	"UIC"	"10-2020"	"work"	"Fuliya4"	"918"	"Fuliya4 918"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	22.6	27			7.39	1.46				3210	6.76	151.7										18.05
"8W-119"			"barbutim_01-2019_W"	"01-2019"	2019	"Jan"	"Oded163_8w_0119"	"UIC"	"10-2020"	"work"	"Barbutim"	"119"	"Barbutim 119"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	19.2	21.9			7.03	4.48				5180	1.03	85.1										26.77
"16W-119"			"haon-drill_01-2019_W"	"01-2019"	2019	"Jan"	"Oded164_16w_0119"	"UIC"	"10-2020"	"work"	"Haon Drill"	"119"	"Haon Drill 119"	"Haon"	"Haon"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	26.8	25			6.8	15.2				25500	4.87	75.1										189.73
"12W-119"			"tveria-head_01-2019_W"	"01-2019"	2019	"Jan"	"Oded165_12w_0119"	"UIC"	"10-2020"	"work"	"Tiberias Head"	"119"	"Tiberias Head 119"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.19	58			6.49	0.786				45700	33.73	7										277.38
"13W-119"			"tveria-pump_01-2019_W"	"01-2019"	2019	"Jan"	"Oded166_13w_0119"	"UIC"	"10-2020"	"work"	"Tiberias Pump"	"119"	"Tiberias Pump 119"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	15.2	43.5			6.98	7.39				44400	28.52	24.8										271.67
"14W-119"			"tveria-pool_01-2019_W"	"01-2019"	2019	"Jan"	"Oded167_14W_0119"	"UIC"	"10-2020"	"work"	"Tiberias Pool"	"119"	"Tiberias Pool 119"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	12.7	39			7.27	0.781				47500	36.22	8.7										295.46
"11W-119"			"gesher-hana_01-2019_W"	"01-2019"	2019	"Jan"	"Oded168_11W_0119"	"UIC"	"10-2020"	"work"	"Gesher Hana"	"119"	"Gesher Hana 119"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	3.02	22			7.82	5.04				1780	6.28	43.2										7.35
"10W-119"			"nur_01-2019_W"	"01-2019"	2019	"Jan"	"Oded169_10W_0119"	"UIC"	"10-2020"	"work"	"Nur"	"119"	"Nur 119"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.64	27			7.07	3.61				6780	3.18	25.8										39.62
"9W-119"			"maayan1_01-2019_W"	"01-2019"	2019	"Jan"	"Oded170_9W_0119"	"UIC"	"10-2020"	"work"	"Maayan1"	"119"	"Maayan1 119"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	2.36	23.5			7.09	2.92				1927	6.18	33.4										8.17
"6W-119"			"ein7_01-2019_W"	"01-2019"	2019	"Jan"	"Oded171_6W0119"	"UIC"	"10-2020"	"work"	"Ein7"	"119"	"Ein7 119"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	1.47	23			7.16	5.88				1775	6.34	45.5										7.31
"5W-119"			"fulia4_01-2019_W"	"01-2019"	2019	"Jan"	"Oded172_5W_0119"	"UIC"	"10-2020"	"work"	"Fuliya4"	"119"	"Fuliya4 119"	"Fulia"	"Fuliya"	"Water"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-water"	27.4	23			7.53	2.88				3650	4.34	93.5										21.1
"12B-119"			"tveria-head_01-2019_B"	"01-2019"	2019	"Jan"	"Oded173_12B_0119"	"UIC"	"10-2020"	"work"	"Tiberias Head"	"119"	"Tiberias Head 119"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	15.9	58			6.49	0.786				45700	33.73	7										277.38
"14B-119"			"tveria-pool_01-2019_B"	"01-2019"	2019	"Jan"	"Oded174_14B_0119"	"UIC"	"10-2020"	"work"	"Tiberias Pool"	"119"	"Tiberias Pool 119"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	25.6	39			7.27	0.781				47500	36.22	8.7										295.46
"11B-119"			"gesher-hana_01-2019_B"	"01-2019"	2019	"Jan"	"Oded176_11B_0119"	"UIC"	"10-2020"	"work"	"Gesher Hana"	"119"	"Gesher Hana 119"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	28	22			7.82	5.04				1780	6.28	43.2										7.35
"9B-119"			"maayan1_01-2019_B"	"01-2019"	2019	"Jan"	"Oded177_9B_0119"	"UIC"	"10-2020"	"work"	"Maayan1"	"119"	"Maayan1 119"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	21.4	23.5			7.09	2.92				1927	6.18	33.4										8.17
"6B-119"			"ein7_01-2019_B"	"01-2019"	2019	"Jan"	"Oded178_6B_0119"	"UIC"	"10-2020"	"fail"	"Ein7"	"119"	"Ein7 119"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	11.3	23			7.16	5.88				1775	6.34	45.5										7.31
"5B-119"			"fulia4_01-2019_B"	"01-2019"	2019	"Jan"	"Oded179_5B_0119"	"UIC"	"10-2020"	"work"	"Fuliya4"	"119"	"Fuliya4 119"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"18S-v9"	"1391f-EukBr"	"Power-soil"	24.4	23			7.53	2.88				3650	4.34	93.5										21.1
"8W-917"			"barbutim_09-2017_W"	"09-2017"	2017	"Sep"	"8w-0916"	"MrDNA"	"12-2017"	"work"	"Barbutim"	"917"	"Barbutim 917"	"Tabha"	"Tabgha"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	1.56	26			7.49	1.32				3630	0.64	19.7										19.36
"16W-917"			"haon-drill_09-2017_W"	"09-2017"	2017	"Sep"	"16w-0917"	"MrDNA"	"12-2017"	"work"	"Haon Drill"	"917"	"Haon Drill 917"	"Haon"	"Haon"	"Water"	"0m"	"18S-v9"	"euk1391f-eukBr"	"Power-water"	23.8	27			7.38	17.7				14400	2.57	98.3										115.57
