"#_Constructed_from_biom_file"																																								
"#OTU_ID"	"Barbutim_09_2017"	"Haon_09_2017"	"Tiberias_Head_09_2017"	"Maayan1_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2017"	"Tiberias_Pump_09_2017"	"Gesher_hana_09_2017"	"Nur_09_2017"	"Barbutim_01_2018"	"Haon_01_2018"	"Tiberias_Pump_01_2018"	"Tiberias_Pool_01_2018"	"Gesher_hana_01_2018"	"Nur_01_2018"	"Maayan1_01_2018"	"Ein7_01_2018"	"Fuliya4_01_2018"	"Barbutim_09_2018"	"Haon_09_2018"	"Tiberias_Head_09_2018"	"Tiberias_Pump_09_2018"	"Tiberias_Pool_09_2018"	"Gesher_hana_09_2018"	"Nur_09_2018"	"Maayan1_09_2018"	"Ein7_09_2018"	"Fuliya4_09_2018"	"Barbutim_01_2019"	"Haon_01_2019"	"Tiberias_Head_01_2019"	"Tiberias_Pump_01_2019"	"Tiberias_Pool_01_2019"	"Gesher_hana_01_2019"	"Nur_01_2019"	"Maayan1_01_2019"	"Ein7_01_2019"	"Fuliya4_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pool_06_2018"
"2ecff"	0	0	0	0	0	0	0	0	0	0	0	0.125624872993294	0.029154041438048	0	0	0	0	0	0	0	0	0.008044189413847	0.035419320376382	0	0	0	0	0	0	0	0.186942842160461	0	0	0	0	0	0	0	0	0.033463184111374
"a42cd"	0.005612932195779	0.006427110721589	0.851628798248015	0.016505636070854	0.03968253968254	0	0	0	0	0	0	0.007274944117049	0.568667594791581	0	0	0	0	0	0	0	0	0.02032498525232	0.141903274848995	0	0	0	0	0	0	0	0	0	0.113532163201037	0	0	0	0	0	0	0.121910722268344
"46a09"	0	0	0	0	0	0	0	0	0	0.001998800719568	0	0	0	0	0	0	0	0	0.167910447761194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cda78"	0	0	0	0	0	0	0	0	0	0.06969151842228	0	0	0	0	0	0	0	0	0.003991669559181	0	0	0	0	0	0	0	0	0	0.04635251332943	0	0	0	0	0	0	0	0	0	0	0
"ec8c6"	0	0	0	0.111916264090177	0.013227513227513	0	0	0.058365758754864	0.290502793296089	0	0	0	0	0.037220843672457	0.007099976910644	0.249488403819918	0	0	0	0	0	0	0	0.001764261110644	0.139033189033189	0.005974176141839	0.006301919220854	0	0	0	0	0	0	0	0	0.020201435517481	0.004975450081833	0	0	0
"8f757"	0	0	0	0	0	0	0	0	0	0.062629089213139	0	0	0	0	0	0	0	0	0.010152724748351	0	0	0	0	0	0	0	0	0	0.001232779609825	0	0	0	0	0	0	0	0	0	0	0
"252c1"	0	0	0	0	0	0	0	0	0	0.192617762675728	0	0	0	0	0	0	0	0	0.002559875043388	0	0	0	0	0	0	0	0	0	0.037877153511881	0	0	0	0	0.004583921015515	0	0	0	0	0	0
"86ddf"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00854306164858	0.008526603001364	0.009338071233782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048483779971791	0.032996596025036	0.065871729567029	0.024222585924714	0	0	0
"72795"	0	0	0.052012044894607	0	0	0	0	0	0	0	0	0	0.063958725739088	0	0	0	0	0	0	0	0	0.023542661017858	0.098635821999425	0	0	0	0	0	0	0	0	0	0.058444866391886	0	0	0	0	0	0	0
"64fce"	0	0	0	0	0	0.051771117166213	0	0	0	0.006085237746241	0	0	0	0	0	0	0	0.164186851211073	0	0	0	0	0.001561408554875	0.002772410316727	0	0.04740797841588	0.086794614723575	0.055550044638429	0	0	0.084163607760881	0	0	0	0	0	0	0.300577427821522	0	0
