"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"35014"	"35014"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c4c90"	"c4c90"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cbefd"	"cbefd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"87674"	"87674"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a84cd"	"a84cd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c59b6"	"c59b6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e88c7"	"e88c7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"805d6"	"805d6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"67ba3"	"67ba3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4a8f3"	"4a8f3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"76e97"	"76e97"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a2ab1"	"a2ab1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4c3bf"	"4c3bf"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ba4ad"	"ba4ad"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3a187"	"3a187"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f13aa"	"f13aa"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"71a98"	"71a98"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"77b3e"	"77b3e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7e00b"	"7e00b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"08541"	"08541"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cd961"	"cd961"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"23b3d"	"23b3d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"19245"	"19245"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0cbc2"	"0cbc2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a3d5b"	"a3d5b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"db1c3"	"db1c3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"945e9"	"945e9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9cb3e"	"9cb3e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cf1a7"	"cf1a7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6579f"	"6579f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"855c7"	"855c7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f8654"	"f8654"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"33563"	"33563"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b24dd"	"b24dd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"718e0"	"718e0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a7b55"	"a7b55"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"aa5af"	"aa5af"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d5f72"	"d5f72"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"310ce"	"310ce"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"82668"	"82668"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0f969"	"0f969"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c734d"	"c734d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"71e4c"	"71e4c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1bdf3"	"1bdf3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c2d3a"	"c2d3a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4933b"	"4933b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"cfdf6"	"cfdf6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6766e"	"6766e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e4664"	"e4664"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fbe02"	"fbe02"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2c51e"	"2c51e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"799a9"	"799a9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4acf0"	"4acf0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8c50d"	"8c50d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3d77d"	"3d77d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5f5ab"	"5f5ab"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"706c8"	"706c8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"13c5e"	"13c5e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"086b5"	"086b5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b44c1"	"b44c1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"07bed"	"07bed"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d4dc6"	"d4dc6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"71814"	"71814"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f1ef3"	"f1ef3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"57b48"	"57b48"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e145a"	"e145a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4f688"	"4f688"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fd6e4"	"fd6e4"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"31106"	"31106"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"21253"	"21253"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"db13f"	"db13f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"87006"	"87006"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"64b85"	"64b85"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b4bfc"	"b4bfc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"04271"	"04271"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6ec68"	"6ec68"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"32acf"	"32acf"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0cfbd"	"0cfbd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fca2b"	"fca2b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0d2a6"	"0d2a6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c4e94"	"c4e94"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2081f"	"2081f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"83093"	"83093"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
