	"8W-719"	"16W-719"	"12W-719"	"9W-719"	"6W-719"	"5W-719"	"12B-719"	"9B-719"	"6B-719"	"5B-719"	"13W-719"	"11W-719"	"10W-719"	"8W-811"	"16W-811"	"13W-811"	"14W-811"	"11W-811"	"10W-811"	"9W-811"	"6W-811"	"5W-811"	"12B-811"	"14B-811"	"11B-811"	"9B-811"	"6B-811"	"5B-811"	"8W-819"	"16W-819"	"12W-819"	"13W-819"	"14W-819"	"11W-819"	"10W-819"	"9W-819"	"6W-819"	"5W-819"	"14B-819"	"11B-819"	"9B-819"	"6B-819"	"5B-819"	"8W-911"	"16W-911"	"12W-911"	"13W-911"	"14W-911"	"11W-911"	"10W-911"	"9W-911"	"6W-911"	"5W-911"	"12B-911"	"14B-911"	"11B-911"	"9B-911"	"6B-911"	"5B-911"	"12W-816"	"12B-816"	"14W-816"	"14B-816"	"14B-719"	"11B-719"	"10B-719"	"12W-811"	"12B-819"	"14W-719"
"1fc50f9e98dec3c859394b8c0abd1b7f"	0	150	0	0	0	0	0	0	0	0	0	0	0	0	3460	821	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	4627	0	0	0	0	0	0	0	0	0	0	0	0	2341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ae9d447690bc8a9534e6374cf0902766"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	172	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
"7d3e6165a63eb0781de857786e854c81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	37	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"111253900923b6d44fa4050aa752a853"	229	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4d10d8054b76ab3fdeb8772c1c4e2aff"	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	20	0	21	0	0	0	0	0	0	0	0	0	86	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"39785726e622d4835d5cbaf4c3f1be76"	0	0	0	0	43	0	0	9	39	0	0	12	0	149	0	0	0	67	0	0	20	0	0	0	0	0	334	0	0	0	0	0	0	185	0	0	0	47	0	0	0	295	187	0	0	0	0	0	46	0	0	0	0	0	0	191	0	295	0	0	0	0	0	0	28	0	0	0	0
"b07cdd1abae8c3c25e476e564050a011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14cb4560cab1bac771133b7f40ce3fd1"	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6e86291352a1816c9dc65c16217fb7a7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2ba989c8468aa65a384f3c061223292d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
